Perfume Name,Brand,Gender,Top Notes,Middle Notes,Base Notes,Main Accords,Season,Time of Day
9am Afnanfor women,Afnan,for women,"Lemon, Mandarin Orange, Cardamom and Pink Pepper","Lavender, Green Apple, Orange Blossom and Rose","Musk, Moss, Cedar and Patchouli","['citrus', 'musky', 'woody', 'aromatic', 'warm spicy', 'lavender', 'mossy', 'fruity', 'earthy', 'white floral']",All Season,Day
9am Dive Afnanfor women and men,Afnan,for women and men,"Lemon, Mint, Black Currant and Pink Pepper","Apple, Incense and Cedar","Ginger, Sandalwood, Patchouli and Jasmine","['fruity', 'woody', 'green', 'warm spicy', 'aromatic', 'citrus', 'fresh', 'fresh spicy', 'soft spicy', 'amber']",Winter,Day
9am pour Femme Afnanfor women,Afnan,for women,"Mandarin Orange, Grapefruit and Bergamot",Raspberry and Black Currant,"Musk, Amber and Orange","['fruity', 'musky', 'amber', 'citrus', 'powdery', 'sweet', 'animalic', 'soft spicy']",All Season,Night
9pm Afnanfor men,Afnan,for men,"Apple, Cinnamon, Wild Lavender and Bergamot",Orange Blossom and Lily-of-the-Valley,"Vanilla, Tonka Bean, Amber and Patchouli","['vanilla', 'amber', 'warm spicy', 'cinnamon', 'sweet', 'fruity', 'powdery', 'lavender', 'aromatic', 'fresh']",Winter,Night
9pm pour Femme Afnanfor women,Afnan,for women,"Raspberry, Violet, Apple and Orange","Rose, Iris, Peony and Jasmine","Cypress, Pine, Cedar and Amber","['woody', 'aromatic', 'rose', 'fruity', 'powdery', 'violet', 'sweet', 'floral', 'fresh spicy']",Spring,Night
Naseej Al Kiswah Afnanfor women and men,Afnan,for women and men,"Patchouli, Tonka Bean and Amber",Woodsy Notes and Cedar,"Amber, Leather and Agarwood (Oud)","['woody', 'amber', 'leather', 'oud', 'patchouli', 'animalic', 'vanilla', 'warm spicy']",Winter,Night
Naseej Al Oud Afnanfor women and men,Afnan,for women and men,"Agarwood (Oud), Pink Pepper, Bergamot and Saffron","Woodsy Notes, Rose, Jasmine and Orris","Agarwood (Oud), Leather and Amber","['oud', 'leather', 'woody', 'amber', 'soft spicy', 'animalic', 'fresh spicy', 'rose']",All Season,Night
Naseej Al Ward Afnanfor women and men,Afnan,for women and men,"Rose, Raspberry and Saffron",Agarwood (Oud) and Patchouli,"Rose, Musk and Cedar","['rose', 'oud', 'fruity', 'musky', 'sweet', 'floral', 'powdery', 'woody', 'warm spicy']",All Season,Night
Naseej Al Zafaran Afnanfor women and men,Afnan,for women and men,"Saffron, Black Pepper and Cardamom","Cedar, Agarwood (Oud) and Rose",Vetiver and Sweet Notes,"['warm spicy', 'metallic', 'leather', 'fresh spicy', 'woody', 'tobacco', 'aromatic']",Fall,Night
Black Oudh Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Musk,Cedar and Herbal Notes,"Amber, Patchouli and Vanilla","['woody', 'powdery', 'musky', 'amber', 'patchouli', 'vanilla', 'green', 'warm spicy', 'balsamic', 'animalic']",Winter,Night
Black Stone Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Agarwood (Oud), Labdanum and Pine Tree Needles","Lily-of-the-Valley, Tuberose and Jasmine",Musk,"['white floral', 'musky', 'tuberose', 'green', 'fresh', 'amber', 'oud']",Spring,Night
Dhahab Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Orange and Bergamot,Caramel and Cedar,Vanilla and Musk,"['caramel', 'vanilla', 'sweet', 'citrus', 'powdery', 'musky', 'woody', 'fresh spicy', 'balsamic']",Winter,Night
Ehsas Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Musk, Ambergris, Woody Notes, Rose, White Flowers, Citruses and Spicy Notes","Musk, Ambergris, Woody Notes, Aldehydes, Lily-of-the-Valley, Sea Notes, Geranium and Artemisia","Musk, Ambergris, Rose, Sandalwood, Tonka Bean, Moss and Guaiac Wood","['woody', 'musky', 'amber', 'white floral', 'powdery', 'rose', 'fresh', 'aromatic', 'animalic', 'warm spicy']",Spring,Any
Entourage Rouge Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Geranium and Bergamot,"Tea, Smoke and Nutmeg","Moss, Vetiver, Patchouli and Cedar","['woody', 'fresh spicy', 'aromatic', 'earthy', 'mossy', 'smoky', 'green', 'citrus', 'patchouli', 'warm spicy']",Fall,Day
Étoiles Silver Al Haramain Perfumesfor men,Al Haramain Perfumes,for men,"Bergamot, Water Notes, Clary Sage and Green Apple","Nutmeg, Geranium, Lavender and Orange Blossom","Cedar, Moss, Ambergris and Musk","['fresh spicy', 'woody', 'citrus', 'aromatic', 'aquatic', 'fresh', 'powdery']",Summer,Day
Haramain Detour Eco Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Lavender, Bergamot and Clary Sage",Saffron and Praline,Agarwood and Cedar,"['lavender', 'citrus', 'fresh spicy', 'aromatic', 'oud', 'sweet', 'warm spicy', 'herbal', 'woody', 'floral']",Winter,Any
Haramain Oud Cambodi Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Amyris, Ginger, Leather and Precious Woods","Sandalwood, Agarwood (Oud), Guaiac Wood, Patchouli and Cedar","White Musk, Vanilla, Benzoin, Amber, Incense and Myrhh","['musky', 'powdery', 'woody', 'vanilla', 'aromatic', 'balsamic', 'warm spicy']",Winter,Night
Khulasat Al Oudh Al Haramain Perfumesfor men,Al Haramain Perfumes,for men,"Sweet Notes, Rose and Sea Notes","Leather, Smoke, Citruses and Woodsy Notes","Resins, Amber, Musk and Labdanum","['smoky', 'leather', 'amber', 'woody', 'animalic', 'sweet', 'citrus', 'musky']",Fall,Night
Musk Al Ghazal Eau de Parfum Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Caraway and Anise,Musk,"Spices, Dark Chocolate, Woody Notes and Vanilla","['musky', 'warm spicy', 'fresh spicy', 'sweet', 'anis', 'powdery', 'chocolate', 'soft spicy', 'aromatic', 'vanilla']",Winter,Night
Night Dreams Eau de Parfum Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Water Notes, Orange and Aldehydes","Rose, Saffron, Orris, Geranium, Ginger, Black Pepper and Cardamom","Guaiac Wood, Musk, Cedar, Sandalwood and Sweet Notes","['warm spicy', 'woody', 'rose', 'fresh spicy', 'powdery', 'iris', 'aromatic', 'metallic', 'earthy', 'leather']",All Season,Night
Nima Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,White Flowers and Ylang-Ylang,Musk and Amber,Woody Notes,"['musky', 'woody', 'amber', 'white floral', 'powdery', 'yellow floral', 'animalic', 'sweet']",Spring,Night
Noora Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Big Strawberry, Plum, Saffron, Mandarin Orange, Ginger and Orange","Ylang-Ylang, Tuberose, Rose, Jasmine, Lily, Iris and Hyacinth","Honey, Vanilla, Sandalwood, Dark Chocolate, Agarwood (Oud), Musk, Amber and Patchouli","['sweet', 'fruity', 'warm spicy', 'powdery', 'honey', 'woody', 'white floral', 'vanilla', 'citrus', 'floral']",Spring,Night
Noora Eau de Parfum Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Jasmine, Orange, Ylang-Ylang, Bergamot, Green Notes and Rose","Jasmine, Woodsy Notes and Fruity Notes","Sweet Notes, Musk and Sandalwood","['sweet', 'woody', 'citrus', 'white floral', 'fruity', 'musky', 'powdery', 'yellow floral', 'green', 'fresh spicy']",Spring,Day
Rafia Gold Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Saffron, Geranium, Lemon and White Flowers","Rose, Sandalwood, Cedar, Aldehydes and Lily-of-the-Valley","Patchouli, Amber, Amyris and Musk","['woody', 'warm spicy', 'rose', 'aromatic', 'powdery', 'fresh spicy', 'metallic', 'patchouli', 'balsamic', 'leather']",All Season,Night
Rafia Silver Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,Orange and Lemon,"Violet, Jasmine and Rose",Musk and Amber,"['citrus', 'powdery', 'amber', 'white floral', 'violet', 'rose', 'musky', 'floral', 'fresh']",Spring,Any
Rawaa Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,Almond and Coffee,"Jasmine, Tuberose and Orris","Cacao Pod, Vanilla, Tonka Bean and Sandalwood","['vanilla', 'white floral', 'warm spicy', 'sweet', 'cacao', 'almond', 'powdery', 'tuberose', 'nutty', 'coffee']",Spring,Night
Red African Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Brazilian Rosewood,Nutmeg and Caramel,"Ambergris, Vanilla and Musk","['fresh spicy', 'caramel', 'sweet', 'amber', 'balsamic', 'vanilla', 'powdery', 'animalic', 'woody']",Winter,Night
Sheikh Eau de Parfum Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Rosemary, Citruses and Apple","Mint, Spices, Jasmine and Freesia","Tobacco, Lily-of-the-Valley and Sandalwood","['aromatic', 'green', 'white floral', 'tobacco', 'fresh spicy', 'fresh', 'floral', 'warm spicy', 'sweet', 'fruity']",Spring,Day
Leather Oudh Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,Raspberry and Thyme,"Woody Notes, Incense, Cashmirwood and Jasmine","Leather, Cedar, Amber and Musk","['woody', 'fruity', 'leather', 'sweet', 'amber', 'animalic', 'smoky', 'musky', 'aromatic', 'balsamic']",All Season,Night
Million Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Mango, Plum and Bergamot","Jasmine, Ylang-Ylang and Rose","Vanilla, Sandalwood, Amber, Musk and Cedar","['vanilla', 'sweet', 'fruity', 'woody', 'powdery', 'tropical', 'white floral', 'yellow floral', 'amber', 'musky']",Spring,Night
Miracle Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Spices, Tarragon, Pink Pepper and Thyme",Galbanum and Costus,Leather and Patchouli,"['aromatic', 'warm spicy', 'patchouli', 'leather', 'green', 'soft spicy', 'earthy', 'woody', 'balsamic', 'anis']",Fall,Any
Mukhamria Maliki Al Haramain Perfumesfor men,Al Haramain Perfumes,for men,"Saffron, Musk and Jasmine","Vetiver, Patchouli, Rose and Vanilla","Agarwood (Oud), Amber, Lily, Sandalwood and Violet","['warm spicy', 'woody', 'oud', 'powdery', 'white floral', 'amber', 'earthy', 'violet', 'metallic', 'patchouli']",Spring,Night
Prince Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,Green Notes and Orange Blossom,Floral Notes and Fruits,Spicy Notes,"['green', 'warm spicy', 'floral', 'white floral', 'sweet', 'citrus', 'fruity']",Spring,Day
Prism Classic Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Bergamot, Peach and Mirabelle","Violet Leaves, Jasmine and Tuberose","Vanilla, Patchouli, Sandalwood and Ambroxan","['vanilla', 'white floral', 'woody', 'fruity', 'powdery', 'sweet', 'citrus', 'tuberose', 'amber', 'patchouli']",Spring,Night
Safari Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Lime, Orange Blossom, Herbal Notes and Melon",Basil and Clary Sage,"Tangerine, Oakmoss and Musk","['citrus', 'green', 'aromatic', 'fresh spicy', 'white floral', 'sweet', 'mossy', 'soft spicy']",Spring,Day
Safwa Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Cloves, Cinnamon, Camphor, Geranium, Basil, Coriander, Cardamom and Artemisia","Cloves, Juniper, Mint, Cedar and Freesia","Amber, Patchouli, Black Musk, Vanilla, Labdanum and Vetiver","['warm spicy', 'aromatic', 'amber', 'fresh spicy', 'woody', 'musky', 'powdery', 'green', 'cinnamon', 'patchouli']",Winter,Night
Sama Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Rose and Geranium,"Lily-of-the-Valley, Violet and Orris",Sandalwood and Musk,"['powdery', 'rose', 'woody', 'iris', 'white floral', 'violet', 'musky', 'fresh spicy', 'aromatic', 'floral']",Spring,Any
Shefon Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Nutmeg, Rosemary, Cloves, Tamarind, Lemon, Cardamom, Bergamot and Green Notes","Jasmine, Rose, Lily-of-the-Valley, Orris and Palisander Rosewood","Patchouli, Benzoin, Amber, Musk, Sandalwood, Cedar and Agarwood (Oud)","['warm spicy', 'woody', 'fresh spicy', 'amber', 'aromatic', 'powdery', 'citrus', 'white floral', 'patchouli', 'musky']",Spring,Any
Shefon Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Green Notes, Bergamot, Lemon, Rosemary, Tamarind and Spices","Lily-of-the-Valley, Jasmine, Palisander Rosewood, Rose and Orris Root","Musk, Cedar, Amber and Patchouli","['woody', 'citrus', 'white floral', 'green', 'aromatic', 'fresh spicy', 'powdery', 'warm spicy', 'amber', 'musky']",Spring,Day
Solitaire Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Cumin, Bergamot and Lemon","Leather, Sandalwood and Cedar",Tobacco and Patchouli,"['woody', 'tobacco', 'fresh spicy', 'leather', 'animalic', 'patchouli', 'citrus', 'warm spicy', 'sweet', 'powdery']",Fall,Any
Sophia Midnight Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Bergamot, Grapefruit, Floral Notes and Tangerine","Geranium, Jasmine, Narcissus, Rose and Woody Notes","Patchouli, Floral Notes, Sandalwood, Vanilla, Olibanum and Tonka Bean","['citrus', 'woody', 'fresh spicy', 'aromatic', 'warm spicy', 'floral', 'rose', 'patchouli', 'vanilla', 'balsamic']",All Season,Day
Sophia Violet Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,Pomelo and Green Notes,"Jasmine, Orchid and Lily-of-the-Valley","Violet, Amber and Musk","['powdery', 'white floral', 'violet', 'floral', 'green', 'fresh', 'citrus', 'amber', 'musky', 'sweet']",Spring,Any
Tajibni Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,Mandarin Orange and Aldehydes,"Cardamom, Patchouli and White Musk","Heliotrope, Amber and Vanilla","['warm spicy', 'powdery', 'vanilla', 'citrus', 'amber', 'patchouli', 'musky', 'aromatic', 'aldehydic', 'woody']",Winter,Night
Tanasuk Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Rose, Saffron and Grenadine","Woody Notes, Amber and Jasmine","Vanilla, Brown sugar and Musk","['sweet', 'rose', 'vanilla', 'powdery', 'woody', 'amber', 'musky', 'warm spicy', 'floral', 'fruity']",Winter,Night
Tanasuk (2019) Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Grenadine, Saffron and Rose","Amber, Woody Notes and Jasmine","Brown sugar, Vanilla and Musk","['sweet', 'vanilla', 'amber', 'warm spicy', 'powdery', 'fruity', 'rose', 'woody', 'metallic']",Winter,Night
Vintage Classic Al Haramain Perfumesfor men,Al Haramain Perfumes,for men,"Pink Pepper, Carrot Seeds, Mandarin Orange, Elemi resin and Black Pepper","Violet Leaf, Cinnamon and Artemisia","Suede, Musk, Sandalwood, Vetiver and Vanilla","['musky', 'ozonic', 'powdery', 'aquatic', 'aromatic', 'soft spicy', 'leather', 'warm spicy', 'woody', 'green']",All Season,Night
White Leather Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Geranium and Bergamot,"Smoke, Tea and Nutmeg","Vetiver, Cedar, Patchouli and Oakmoss","['woody', 'fresh spicy', 'aromatic', 'earthy', 'smoky', 'mossy', 'patchouli', 'citrus', 'green', 'warm spicy']",Fall,Day
White Oudh Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Artemisia, Orange, Lemon and Mandarin Orange","Freesia, Patchouli and Black Currant","Tobacco, Amber and Musk","['citrus', 'tobacco', 'floral', 'herbal', 'sweet', 'fruity', 'amber', 'aromatic', 'patchouli', 'musky']",All Season,Night
50 Years Golden Oudh Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Black Pepper, Cloves, Thyme and Sage","Agarwood (Oud), Rose, Patchouli and Resin","Agarwood (Oud), Sandalwood, Amber, Musk and Vanilla","['woody', 'oud', 'warm spicy', 'amber', 'powdery', 'fresh spicy', 'musky', 'patchouli', 'rose', 'aromatic']",Winter,Night
50 Years Oudh Ma’al Attar Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Bergamot, Orange, Galbanum, Ylang-Ylang and Aldehydes","Rose, Lilac, Iris and Lily-of-the-Valley","Cedar, Amber, Sandalwood, Oakmoss and Musk","['woody', 'citrus', 'powdery', 'floral', 'green', 'fresh', 'earthy', 'aldehydic', 'rose', 'iris']",Spring,Day
50 Years Platinum Oud Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Black Pepper and Cardamom,"Dry Wood, Cedar and Vetiver","Amber, Musk and Tonka Bean","['woody', 'warm spicy', 'fresh spicy', 'aromatic', 'amber']",All Season,Night
50 Years Rose Oud Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Pink Pepper, Galbanum and Bergamot",Cedar and Sandalwood,"Oakmoss, Agarwood (Oud) and Musk","['woody', 'powdery', 'mossy', 'oud', 'soft spicy', 'earthy']",Fall,Night
Amber Oud Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Rosemary, Bergamot, Cedar and Lemon","Spices, Cedar and Guaiac Wood","Resins, Amber and Musk","['amber', 'woody', 'aromatic', 'citrus', 'fresh spicy', 'powdery', 'musky', 'warm spicy', 'balsamic']",Winter,Any
Amber Oud Black Edition Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Cardamom, Lavender and Grapefruit","Leather, Amber and Orange Blossom","Benzoin, Ambergris and Vetiver","['amber', 'animalic', 'warm spicy', 'aromatic', 'leather', 'lavender', 'citrus', 'woody']",Fall,Night
Amber Oud Bleu Edition Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Grapefruit, Lemon, Mint and Pink Pepper","Ginger, Vetiver and Jasmine","Olibanum, Sandalwood, Patchouli and Cedar","['woody', 'citrus', 'warm spicy', 'aromatic', 'fresh spicy', 'amber', 'green', 'patchouli', 'earthy', 'balsamic']",Fall,Day
Amber Oud Carbon Edition Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Lavender, Bergamot and Rosemary","Sea Notes, Geranium and Sage","Amber, Vetiver, Moss and Cedar","['aromatic', 'fresh spicy', 'woody', 'lavender', 'marine', 'herbal', 'citrus', 'earthy']",All Season,Day
Amber Oud Gold Edition Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Bergamot and Green Notes,"Sweet Notes, Melon, Pineapple and Amber","Musk, Vanilla and Woody Notes","['sweet', 'fruity', 'ozonic', 'musky', 'powdery', 'amber', 'fresh', 'vanilla', 'aquatic', 'woody']",Summer,Night
Amber Oud Gold Edition Extreme Pure Perfume Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Bergamot and Green Notes,"Sweet Notes, Melon, Pineapple, Amber and Cedar","Woodsy Notes, Myrrh, Musk and Vanilla","['sweet', 'fruity', 'woody', 'amber', 'ozonic', 'powdery', 'fresh', 'vanilla', 'musky', 'aquatic']",Summer,Night
Amber Oud Private Edition Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Bergamot and Green Notes,"Melon, Sweet Notes, Amber, Pineapple and Cedarwood","Resins, Myrrh, Musk, Woody Notes and Vanilla","['amber', 'sweet', 'woody', 'balsamic', 'powdery', 'musky', 'green', 'fruity', 'citrus', 'vanilla']",All Season,Night
Amber Oud Rouge Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Saffron,Jasmine,"Ambergris, Musk and White Cedar Extract","['warm spicy', 'amber', 'musky', 'woody', 'animalic', 'metallic', 'powdery', 'white floral', 'leather', 'tobacco']",All Season,Night
Amber Oud Ruby Edition Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Saffron and Bitter Almond,Cedar and Egyptian Jasmine,"Ambergris, Woody Notes and Musk","['woody', 'warm spicy', 'amber', 'almond', 'animalic', 'musky', 'metallic', 'nutty', 'leather', 'white floral']",All Season,Night
Amber Oud Tobacco Edition Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Tobacco Leaf, Cinnamon, Black Pepper and Ginger","Vanilla, Cloves, Star Anise, Cacao, Tonka Bean and Incense","Tobacco, Dried Fruits and Woodsy Notes","['warm spicy', 'sweet', 'vanilla', 'tobacco', 'cinnamon', 'fruity', 'soft spicy', 'anis', 'woody', 'powdery']",Winter,Night
Amber Oud Ultra Violet Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Ginger, Rose and Bergamot","Tuberose, Jasmine and White Flowers","Oak, Patchouli and Musk","['white floral', 'tuberose', 'woody', 'warm spicy', 'animalic', 'rose', 'patchouli', 'citrus']",Spring,Any
Amber Oud White Edition Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Bergamot and Orange,"Jasmine, Rose, Freesia and Cyclamen","Patchouli, Musk, Vetiver and Vanilla","['citrus', 'white floral', 'patchouli', 'floral', 'woody', 'earthy', 'rose', 'musky', 'warm spicy', 'aromatic']",Fall,Night
Belle Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Black Currant Blossom, Mandarin Orange and Grapefruit",Melon and Apricot,"Sweet Notes, Musk and Sandalwood","['sweet', 'fruity', 'ozonic', 'citrus', 'aquatic', 'powdery', 'musky', 'fresh']",Summer,Day
Belle Rouge Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Orange, Grapefruit, Pear, Mandarin Orange and Lemon","Lavender, Jasmine, Rose, Peach and Black Currant","Vanilla, Tonka Bean, Musk, Vetiver, Sandalwood and Cedar","['lavender', 'aromatic', 'citrus', 'vanilla', 'fruity', 'woody', 'sweet', 'white floral', 'powdery', 'fresh spicy']",Spring,Night
Affaf Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Plum, Bergamot, Mango, Citruses, Red Berries, Orange, Lime and Lavender","Taif Rose, Amber, Patchouli, Ylang-Ylang, Iris, Jasmine and Lily-of-the-Valley","Agarwood (Oud), Sandalwood, Amber, Patchouli, Musk, Cedar, Vanilla and Oakmoss","['woody', 'rose', 'powdery', 'oud', 'fruity', 'sweet', 'citrus', 'warm spicy', 'amber', 'patchouli']",Winter,Night
Maze Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Lemon, Bergamot and Wormwood","Rose, Orange Blossom and Jasmine","Cedar, Musk, Sandalwood, Patchouli, Tonka Bean, Amber and Praline","['citrus', 'woody', 'aromatic', 'powdery', 'fresh spicy', 'sweet', 'musky', 'amber', 'white floral', 'rose']",Spring,Night
Mena Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Pine Tree,Sandalwood and Saffron,Sandalwood and Amber,"['woody', 'warm spicy', 'amber', 'aromatic', 'powdery', 'conifer', 'metallic', 'balsamic']",Winter,Night
Mukhamria Ateeq Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,elemi and Black Pepper,"Violet, Labdanum and Saffron","Agarwood (Oud), Sandalwood, White Musk and Amber","['powdery', 'woody', 'oud', 'amber', 'aromatic', 'warm spicy', 'balsamic', 'musky', 'fresh spicy', 'violet']",Winter,Night
Musk Al Ghazal Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Caraway and Anise,Musk,"Woody Notes, Spicy Notes, Vanilla and Dark Chocolate","['musky', 'woody', 'warm spicy', 'anis', 'powdery', 'fresh spicy', 'sweet', 'soft spicy', 'vanilla', 'chocolate']",Winter,Night
Tohfa Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,elemi and Black Pepper,"Labdanum, Rose, Saffron and Violet","Agarwood (Oud), Amber, Sandalwood and Musk","['amber', 'oud', 'fresh spicy', 'aromatic', 'rose', 'warm spicy', 'woody', 'balsamic', 'musky', 'powdery']",Winter,Night
Détour Rouge Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Lavender, Cardamom and Bergamot","Tobacco, Black Tea and Violet","Musk, Tonka Bean and Cedar","['aromatic', 'powdery', 'musky', 'warm spicy', 'sweet', 'woody', 'tobacco', 'lavender', 'citrus', 'fresh spicy']",All Season,Day
Azure Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Ginger, Apple and Grapefruit","Blueberry, Geranium and Sage","Olibanum, Amber, Tonka and Cedar","['amber', 'warm spicy', 'fresh spicy', 'fruity', 'aromatic', 'fresh', 'herbal']",Winter,Any
Blanche Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Litchi, Pitahaya, Bergamot and Nutmeg","Rose, Peony and Vanilla","Cedar, Musk, Vetiver and Cashmeran","['fruity', 'tropical', 'floral', 'rose', 'fresh', 'woody', 'citrus', 'fresh spicy', 'aromatic']",Spring,Any
Destino Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Orange Blossom, Raspberry and Mandarin Orange","Marshmallow, Grapefruit and Black Currant","Ambrette, Musk and Whipped Cream","['sweet', 'citrus', 'musky', 'fruity', 'white floral', 'powdery', 'floral', 'aromatic', 'animalic']",Spring,Night
Noir Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,"Black Pepper, Neroli and Grapefruit","Saffron, Honey and Cardamom","Agarwood, Olibanum, Patchouli and Vetiver","['warm spicy', 'fresh spicy', 'aromatic', 'woody', 'citrus', 'earthy', 'honey', 'oud', 'patchouli', 'amber']",Fall,Any
Rouge Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Saffron and Jasmine,Amberwood and Ambergris,Cedar and Fir Resin,"['amber', 'warm spicy', 'animalic', 'woody', 'metallic']",Winter,Night
Hayati Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Musk and Amber,"Musk, Rose and Sugar","Musk, Agarwood (Oud) and Woody Notes","['musky', 'oud', 'powdery', 'woody', 'amber', 'rose', 'sweet', 'animalic']",Winter,Night
Hayati Gold Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Musk and Vanilla,"White Musk, Powdery Notes and Sweet Notes","White Musk, Woodsy Notes and Tolu Balsam","['powdery', 'musky', 'woody', 'sweet', 'amber', 'vanilla']",Winter,Night
Hayati Spray Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Musk and Amber,"Musk, Rose and Sugar","Musk, Agarwood (Oud) and Woody Notes","['musky', 'powdery', 'rose', 'amber', 'oud', 'woody', 'animalic']",Winter,Night
Junoon Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Powdery Notes, Rose, Ylang-Ylang and Jasmine","Iris, Tonka Bean, Rose and Jasmine","Heliotrope, Vanilla and Musk","['powdery', 'vanilla', 'iris', 'sweet']",Spring,Night
Junoon Noir Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,Kumquat and Lime,"Orris, Violet, Jasmine and Lily-of-the-Valley","Vanilla, Musk, Sandalwood and Cedar","['powdery', 'vanilla', 'citrus', 'woody', 'iris', 'violet', 'musky', 'white floral', 'fresh', 'sweet']",Spring,Night
Junoon Oud Al Haramain Perfumesfor women and men,Al Haramain Perfumes,for women and men,Grapefruit and Woody Notes,"Musk, Jasmine and Amber","Woody Notes, Patchouli and Palisander Rosewood","['woody', 'citrus', 'musky', 'patchouli', 'warm spicy', 'amber', 'fresh spicy', 'powdery', 'balsamic']",Winter,Any
Junoon Rose Al Haramain Perfumesfor women,Al Haramain Perfumes,for women,"Cherry Blossom, Bergamot and Ylang-Ylang","Amaretto, Powdery Notes, Rose and Heliotrope","Suede, Tonka Bean and Amber","['powdery', 'floral', 'almond', 'fruity', 'rose', 'vanilla', 'amber', 'leather', 'fresh', 'citrus']",All Season,Night
L'Aventure Al Haramain Perfumesfor men,Al Haramain Perfumes,for men,"Lemon, Bergamot and elemi","Woody Notes, Jasmine and Lily-of-the-Valley","Musk, Patchouli and Amber","['citrus', 'aromatic', 'woody', 'musky', 'fresh spicy', 'powdery', 'white floral']",Spring,Any
